name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kolkata,25-09-2022,33,27.1,30,40,30.7,35.4,24.5,73.1,4.865,100,4.17,rain,0,0,20.2,13,142.4,1005.9,54.7,3.8,262.8,22.7,9,30,2022-09-25T05:25:59,2022-09-25T17:30:21,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,26-09-2022,33,27.4,29.5,40.6,31.9,35.3,25,77.3,0,0,0,rain,0,0,14.8,14.8,140,1006.5,67.9,3.5,209.3,18,9,30,2022-09-26T05:26:17,2022-09-26T17:29:22,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,27-09-2022,33,27.7,30,40.4,32.5,36.3,25.2,75.5,0.081,100,4.17,rain,0,0,13.3,11.2,201.8,1005.4,62.4,3.6,221.7,19.1,9,30,2022-09-27T05:26:36,2022-09-27T17:28:22,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,28-09-2022,32.5,27,28.9,41.1,29.6,34.8,25.4,81.5,13.108,100,4.17,rain,0,0,8.6,13,325.6,1004.2,79.1,3.3,225,19.5,9,60,2022-09-28T05:26:54,2022-09-28T17:27:23,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,29-09-2022,33.4,26.8,30,42.1,30.1,36.3,25.4,77.2,0,0,0,,0,0,18.4,11.2,57.7,1003.9,53.4,3.5,256,22.1,9,30,2022-09-29T05:27:13,2022-09-29T17:26:24,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,30-09-2022,33.3,27,30.1,43.8,30.6,37.1,25.8,78.3,0,0,0,,0,0,13.7,9.4,2.6,1003.9,60,3.4,223.8,19.3,9,30,2022-09-30T05:27:32,2022-09-30T17:25:26,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,01-10-2022,33.6,25.6,30,42.9,25.6,36.3,25.4,77.3,25.611,100,8.33,rain,0,0,20.5,25.9,13.4,1002.6,74.4,3.2,184.8,16,9,30,2022-10-01T05:27:51,2022-10-01T17:24:27,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,02-10-2022,30.3,26.1,28,37.4,26.1,32.4,25,84.2,0.178,100,4.17,rain,0,0,30.2,11.2,41.1,1002.3,81.6,3.6,74.6,6.5,5,30,2022-10-02T05:28:10,2022-10-02T17:23:29,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,03-10-2022,30,26.8,28.2,37.4,30.1,33.1,25.2,84.1,14.377,100,12.5,rain,0,0,23.4,18.4,97.2,1004,79.9,3.5,115.4,9.9,7,30,2022-10-03T05:28:30,2022-10-03T17:22:31,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,04-10-2022,32,26.7,29.1,40.6,26.7,34.6,25.2,79.8,8.288,100,16.67,rain,0,0,31,24.1,128.8,1007.3,86.9,4,216.6,18.8,8,60,2022-10-04T05:28:50,2022-10-04T17:21:34,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
